,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
10840,"disposal, ventilation equipment, GE 250 RH",CH,unit,0,waste management,building demolition,7.67,1.3329,173.8,1.3519,,
10837,"disposal, ventilation equipment, KWL 250",CH,unit,0,waste management,building demolition,4.13,0.80964,196,0.81955,,
10842,"disposal, ventilation equipment, KWLC 1200",CH,unit,0,waste management,building demolition,21.38,3.4744,162.5,3.5253,,
10839,"disposal, ventilation equipment, Storkair G 90",CH,unit,0,waste management,building demolition,4.68,29.534,6310.7,29.576,,
10843,"disposal, ventilation equipment, Twl-700",CH,unit,0,waste management,building demolition,14.98,4.3633,291.3,4.4012,,
10841,"disposal, ventilation equipment, central, 600-1200 m3/h",CH,unit,0,waste management,building demolition,17.78,3.3035,185.8,3.3465,,
10836,"disposal, ventilation equipment, decentralized, 180-250 m3/h",CH,unit,0,waste management,building demolition,6.39,30.032,4699.8,30.076,,
2055,"disposal, antifreezer liquid, 51.8% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,29.56,2.4321,82.3,2.4821,,
2056,"disposal, bilge oil, 90% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,28.11,2.0475,72.8,2.0964,,
10919,"disposal, capacitors, 0% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,24.85,2.3033,92.7,2.3539,,
2057,"disposal, catalyst for EDC production, 0% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,33.25,2.3688,71.2,2.4314,,
2058,"disposal, emulsion paint remains, 0% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,21.93,2.1393,97.6,2.1852,,
2059,"disposal, hazardous waste, 25% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,13.95,1.8429,132.1,1.8818,,
2060,"disposal, paint remains, 0% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,17.49,2.6551,151.8,2.6855,,
2061,"disposal, refinery sludge, 89.5% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,27.24,1.9983,73.4,2.0457,,
2062,"disposal, separator sludge, 90% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,30.45,2.0545,67.5,2.1062,,
2063,"disposal, solvents mixture, 16.5% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,3.67,1.3351,363.8,1.3551,,
2064,"disposal, used mineral oil, 10% water, to hazardous waste incineration",CH,kg,0,waste management,hazardous waste incineration,0.46,1.8289,3975.9,1.8306,,
2068,"process-specific burdens, hazardous waste incineration plant",CH,kg,0,waste management,hazardous waste incineration,0.26,0.014024,53.9,0.014855,,
2069,"disposal, concrete, 5% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2070,"disposal, emulsion paint, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2071,"disposal, glass, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2072,"disposal, gypsum, 19.4% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2073,"disposal, inert waste, 5% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2074,"disposal, limestone residue, 5% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2075,"disposal, mineral wool, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2076,"disposal, natural gas pipeline, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2077,"disposal, packaging cardboard, 19.6% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2078,"disposal, paint, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2079,"disposal, plastic plaster, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2080,"disposal, polyurethane, 0.2% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2081,"disposal, slag from MG silicon production, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2082,"disposal, steel, 0% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2083,"disposal, zeolite, 5% water, to inert material landfill",CH,kg,0,waste management,inert material landfill,0.2,0.0065672,32.8,0.0070757,,
2085,"process-specific burdens, inert material landfill",CH,kg,0,waste management,inert material landfill,0.04,0.0025194,63,0.0025977,,
2086,"disposal, drilling waste, 71.5% water, to landfarming",CH,kg,0,waste management,landfarming,0.02,0.0011456,57.3,0.0012049,,
2087,"disposal, refinery sludge, 89.5% water, to landfarming",CH,kg,0,waste management,landfarming,0.02,0.0011456,57.3,0.0012049,,
2088,"disposal, wood ash mixture, pure, 0% water, to landfarming",CH,kg,0,waste management,landfarming,0.02,0.0011456,57.3,0.0012049,,
10975,"disposal, LCD module,  to municipal waste incineration",CH,kg,0,waste management,municipal incineration,0.54,0.24634,456.2,0.24899,,
2109,"disposal, PE sealing sheet, 4% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.27,2.5465,9431.5,2.5493,,
2120,"disposal, PVC sealing sheet, 1.64% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,6.32,2.076,328.5,2.0951,,
2089,"disposal, aluminium in car shredder residue, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,1.03,0.078213,75.9,0.081721,,
2090,"disposal, aluminium, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.72,0.03191,44.3,0.034206,,
2091,"disposal, anion exchange resin f. water, 50% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.85,1.2401,1458.9,1.279,,
6712,"disposal, biowaste, 60% H2O, to municipal incineration, allocation price",CH,kg,0,waste management,municipal incineration,0.41,0.026174,63.8,0.031083,,
6713,"disposal, biowaste, 60% H2O, to municipal incineration, future, alloc. price",CH,kg,0,waste management,municipal incineration,0.2,0.012656,63.3,0.015029,,
2092,"disposal, bitumen sheet, 1.5% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.56,2.3336,4167.1,2.34,,
6008,"disposal, building wood, chrome preserved, 20% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.17,0.010241,60.2,0.012197,,
2093,"disposal, cation exchange resin f. water, 50% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,1.03,0.99218,963.3,0.99651,,
2094,"disposal, cement-fibre slab, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.26,0.013252,51,0.014646,,
10994,"disposal, coatings in CRT screens,  to municipal waste incineration",CH,kg,0,waste management,municipal incineration,0.66,0.029641,44.9,0.031791,,
2095,"disposal, copper in car shredder residue, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.92,0.071274,77.5,0.074492,,
2096,"disposal, copper, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.6,0.026955,44.9,0.028934,,
6715,"disposal, digester sludge, to incineration, future, allocation price",CH,kg,0,waste management,municipal incineration,0.12,0.0062134,51.8,0.007904,,
6714,"disposal, digester sludge, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.18,0.0096935,53.9,0.012331,,
2097,"disposal, emulsion paint, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,2.59,1.1209,432.8,1.1288,,
2098,"disposal, expanded polystyrene, 5% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.23,3.1454,13675.7,3.1491,,
2099,"disposal, glass, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.5,0.022854,45.7,0.024569,,
2100,"disposal, hard coal ash from stove, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.57,0.02572,45.1,0.02783,,
2101,"disposal, lead in car shredder residue, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,1.91,0.20445,107,0.21153,,
2102,"disposal, lignite ash from stove, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.72,0.032283,44.8,0.034814,,
2103,"disposal, municipal solid waste, 22.9% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.43,0.49944,1161.5,0.50496,,
2104,"disposal, newspaper, 14.7% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.24,0.015939,66.4,0.017739,,
2105,"disposal, packaging cardboard, 19.6% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.36,0.02082,57.8,0.025321,,
2106,"disposal, packaging paper, 13.7% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.29,0.018492,63.8,0.024705,,
2107,"disposal, paint, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.26,2.379,9150,2.3804,,
2108,"disposal, paper, 11.2% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.29,0.018247,62.9,0.024033,,
2110,"disposal, plastic, consumer electronics, 15.3% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.5,3.0106,6021.2,3.0291,,
2111,"disposal, plastic, industr. electronics, 15.3% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.53,2.9608,5586.4,2.9799,,
2112,"disposal, plastics, mixture, 15.3% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.69,2.3384,3389,2.3486,,
2113,"disposal, polyethylene terephtalate, 0.2% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.23,2.0236,8798.3,2.0329,,
2114,"disposal, polyethylene, 0.4% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.22,2.9934,13606.4,2.9963,,
2115,"disposal, polypropylene, 15.9% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.21,2.5326,12060,2.5352,,
2116,"disposal, polystyrene, 0.2% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.22,3.1637,14380.5,3.1674,,
2117,"disposal, polyurethane, 0.2% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,1.3,2.3902,1838.6,2.4706,,
2118,"disposal, polyvinylchloride, 0.2% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,11.75,2.2381,190.5,2.273,,
2119,"disposal, polyvinylfluoride, 0.2% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,1.74,2.1873,1257.1,2.1944,,
6717,"disposal, raw sewage sludge, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.18,0.0096578,53.7,0.01309,,
10981,"disposal, residues, mechanical treatment, CRT screen, in MSWI",CH,kg,0,waste management,municipal incineration,0.52,2.7542,5296.5,2.7714,,
10992,"disposal, residues, mechanical treatment, IT accessoires, in MSWI",CH,kg,0,waste management,municipal incineration,0.52,2.8386,5458.8,2.8562,,
10982,"disposal, residues, mechanical treatment, LCD screen, in MSWI",CH,kg,0,waste management,municipal incineration,0.53,2.9093,5489.2,2.9274,,
10920,"disposal, residues, mechanical treatment, desktop computer, in MSWI",CH,kg,0,waste management,municipal incineration,0.51,2.2201,4353.1,2.2343,,
10984,"disposal, residues, mechanical treatment, industrial device, in MSWI",CH,kg,0,waste management,municipal incineration,0.48,2.3001,4791.9,2.3147,,
10921,"disposal, residues, mechanical treatment, laptop computer, in MSWI",CH,kg,0,waste management,municipal incineration,0.52,2.7594,5306.5,2.7767,,
10983,"disposal, residues, mechanical treatment, laser printer, in MSWI",CH,kg,0,waste management,municipal incineration,0.51,2.8735,5634.3,2.8913,,
10922,"disposal, residues, shredder fraction from manual dismantling, in MSWI",CH,kg,0,waste management,municipal incineration,0.51,2.838,5564.7,2.8556,,
2121,"disposal, rubber, unspecified, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.75,3.1366,4182.1,3.1394,,
2122,"disposal, steel in car shredder residue, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.6,0.04281,71.4,0.044972,,
2123,"disposal, steel, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.33,0.016015,48.5,0.017291,,
2124,"disposal, textiles, soiled, 25% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.96,0.053456,55.7,0.14504,,
2125,"disposal, tin sheet, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.33,0.016203,49.1,0.017476,,
2126,"disposal, vapour barrier, flame-retarded, 4.5% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.35,2.8128,8036.6,2.816,,
2127,"disposal, wire plastic, 3.55% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,7.63,2.3358,306.1,2.3592,,
2128,"disposal, wood ash mixture, pure, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.45,0.020942,46.5,0.022395,,
2129,"disposal, wood pole, chrome preserved, 20% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.17,0.010786,63.4,0.012756,,
2130,"disposal, wood untreated, 20% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,0.16,0.009809,61.3,0.011753,,
2131,"disposal, zinc in car shredder residue, 0% water, to municipal incineration",CH,kg,0,waste management,municipal incineration,2.68,0.26872,100.3,0.27849,,
2132,"electricity from waste, at municipal waste incineration plant",CH,kWh,0,waste management,municipal incineration,0,,#DIV/0!,0,,
6718,"electricity, biowaste, at waste incineration plant, allocation price",CH,kWh,0,waste management,municipal incineration,1.92,0.12381,64.5,0.14703,,
6719,"electricity, biowaste, at waste incineration plant, future, alloc. price",CH,kWh,0,waste management,municipal incineration,0.93,0.060079,64.6,0.071346,,
6721,"electricity, digester sludge, at incineration plant, future, alloc. price",CH,kWh,0,waste management,municipal incineration,2.73,0.14661,53.7,0.1865,,
2133,"heat from waste, at municipal waste incineration plant",CH,MJ,0,waste management,municipal incineration,0,,#DIV/0!,0,,
6723,"heat, biowaste, at waste incineration plant, allocation price",CH,MJ,0,waste management,municipal incineration,0.18,0.011779,65.4,0.013988,,
6724,"heat, biowaste, at waste incineration plant, future, allocation price",CH,MJ,0,waste management,municipal incineration,0.09,0.0057034,63.4,0.006773,,
6726,"heat, digester sludge, at incineration plant, future, allocation price",CH,MJ,0,waste management,municipal incineration,0.26,0.013945,53.6,0.01774,,
2135,"process-specific burdens, municipal waste incineration",CH,kg,0,waste management,municipal incineration,0.09,0.0049982,55.5,0.005278,,
2136,"process-specific burdens, slag compartment",CH,kg,0,waste management,municipal incineration,0.04,0.0024878,62.2,0.0025652,,
5786,"disposal, lignite ash, 0% water, to opencast refill",AT,kg,0,waste management,others,0,,#DIV/0!,0,,
5787,"disposal, lignite ash, 0% water, to opencast refill",BA,kg,0,waste management,others,0,,#DIV/0!,0,,
5788,"disposal, lignite ash, 0% water, to opencast refill",CZ,kg,0,waste management,others,0,,#DIV/0!,0,,
5789,"disposal, lignite ash, 0% water, to opencast refill",DE,kg,0,waste management,others,0,,#DIV/0!,0,,
5790,"disposal, lignite ash, 0% water, to opencast refill",ES,kg,0,waste management,others,0,,#DIV/0!,0,,
5791,"disposal, lignite ash, 0% water, to opencast refill",FR,kg,0,waste management,others,0,,#DIV/0!,0,,
5792,"disposal, lignite ash, 0% water, to opencast refill",GR,kg,0,waste management,others,0,,#DIV/0!,0,,
5793,"disposal, lignite ash, 0% water, to opencast refill",HU,kg,0,waste management,others,0,,#DIV/0!,0,,
5794,"disposal, lignite ash, 0% water, to opencast refill",MK,kg,0,waste management,others,0,,#DIV/0!,0,,
5795,"disposal, lignite ash, 0% water, to opencast refill",PL,kg,0,waste management,others,0,,#DIV/0!,0,,
5796,"disposal, lignite ash, 0% water, to opencast refill",SI,kg,0,waste management,others,0,,#DIV/0!,0,,
5797,"disposal, lignite ash, 0% water, to opencast refill",SK,kg,0,waste management,others,0,,#DIV/0!,0,,
5798,"disposal, lignite ash, 0% water, to opencast refill",CS,kg,0,waste management,others,0,,#DIV/0!,0,,
2141,"transport, municipal waste collection, lorry 21t",CH,tkm,0,waste management,others,19.25,1.2542,65.2,1.3081,,
10926,"Al fraction, mechanical treatment, CRT screen, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10989,"Al fraction, mechanical treatment, IT accessoires, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10931,"Al fraction, mechanical treatment, LCD screen, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10907,"Al fraction, mechanical treatment, desktop computer, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10941,"Al fraction, mechanical treatment, industrial devices, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10912,"Al fraction, mechanical treatment, laptop computer, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10936,"Al fraction, mechanical treatment, printer, laser, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10986,"Al fraction, mechanical treatment, shredder mat. of manual dismantling, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10953,"Co powder, hydrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10949,"Co powder, pyrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10927,"Cu fraction, mechanical treatment, CRT screen, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10990,"Cu fraction, mechanical treatment, IT accessoires, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10932,"Cu fraction, mechanical treatment, LCD screen, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10908,"Cu fraction, mechanical treatment, desktop computer, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10942,"Cu fraction, mechanical treatment, industrial devices, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10913,"Cu fraction, mechanical treatment, laptop computer, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10937,"Cu fraction, mechanical treatment, printer, laser, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10987,"Cu fraction, mechanical treatment, shredder mat. of manual dismantling, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10902,"Disposal, power adapter, external, for laptop, to WEEE treatment",CH,unit,0,waste management,recycling,0.64,0.7329,1145.2,0.73871,,
10925,"Fe fraction, mechanical treatment, CRT screen, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10988,"Fe fraction, mechanical treatment, IT accessoires, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10930,"Fe fraction, mechanical treatment, LCD screen, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10906,"Fe fraction, mechanical treatment, desktop computer, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10940,"Fe fraction, mechanical treatment, industrial devices, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10911,"Fe fraction, mechanical treatment, laptop computer, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10935,"Fe fraction, mechanical treatment, printer, laser, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10985,"Fe fraction, mechanical treatment, shredder mat. of manual dismantling, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10954,"Li salt, hydrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10951,"MnO2 powder, pyrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10945,"Ni-Co-Fe residues, pyrometallurgical processing NiMH batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
11144,"copper, secondary, from cable treatment, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10924,"dismantling, CRT screen, manually, at plant",CH,kg,0,waste management,recycling,1.21,0.60783,502.3,0.61438,,
10928,"dismantling, CRT screen, mechanically, at plant",GLO,kg,0,waste management,recycling,1.13,0.66697,590.2,0.67356,,
10991,"dismantling, IT accessoires, mechanically, at plant",GLO,kg,0,waste management,recycling,1.21,1.3828,1142.8,1.3938,,
10929,"dismantling, LCD screen, manually, at plant",CH,kg,0,waste management,recycling,0.77,1.2714,1651.2,1.2807,,
10933,"dismantling, LCD screen, mechanically, at plant",GLO,kg,0,waste management,recycling,0.87,1.1966,1375.4,1.2056,,
10905,"dismantling, desktop computer, manually, at plant",CH,kg,0,waste management,recycling,0.74,0.39132,528.8,0.39535,,
10909,"dismantling, desktop computer, mechanically, at plant",GLO,kg,0,waste management,recycling,1.23,0.40752,331.3,0.41261,,
10939,"dismantling, industrial devices, manually, at plant",CH,kg,0,waste management,recycling,0.33,0.2629,796.7,0.26536,,
10943,"dismantling, industrial devices, mechanically, at plant",GLO,kg,0,waste management,recycling,0.89,0.29868,335.6,0.30262,,
10910,"dismantling, laptop, manually, at plant",CH,kg,0,waste management,recycling,1.7,0.6635,390.3,0.67207,,
10914,"dismantling, laptop, mechanically, at plant",GLO,kg,0,waste management,recycling,1.83,1.0215,558.2,1.0322,,
10934,"dismantling, printer, laser, manually, at plant",CH,kg,0,waste management,recycling,0.62,2.026,3267.7,2.0369,,
10938,"dismantling, printer, laser, mechanically, at plant",GLO,kg,0,waste management,recycling,0.81,2.0361,2513.7,2.0474,,
10915,"dismantling, shredder fraction from manual dismantling, mechanically, at plant",GLO,kg,0,waste management,recycling,1.05,1.0785,1027.1,1.0874,,
7050,"disposal, CRT screen, 17 inches, to WEEE treatment",CH,unit,0,waste management,recycling,22.87,13.002,568.5,13.133,,
7051,"disposal, LCD flat screen, 17 inches, to WEEE treatment",CH,unit,0,waste management,recycling,4.34,6.2391,1437.6,6.2856,,
10952,"disposal, Li-ions batteries, hydrometallurgical",GLO,kg,0,waste management,recycling,5.63,0.50676,90,0.53645,,
10946,"disposal, Li-ions batteries, mixed technology",GLO,kg,0,waste management,recycling,11.55,0.90626,78.5,0.94485,,
10947,"disposal, Li-ions batteries, pyrometallurgical",GLO,kg,0,waste management,recycling,17.47,1.3058,74.7,1.3532,,
10944,"disposal, NiMH batteries",GLO,kg,0,waste management,recycling,9.95,0.6195,62.3,0.63721,,
2142,"disposal, building, brick, to recycling",CH,kg,0,waste management,recycling,0.05,0.0031826,63.7,0.0032822,,
2143,"disposal, building, brick, to sorting plant",CH,kg,0,waste management,recycling,0.29,0.012604,43.5,0.013255,,
2144,"disposal, building, cement (in concrete) and mortar, to sorting plant",CH,kg,0,waste management,recycling,0.45,0.019044,42.3,0.020119,,
2145,"disposal, building, cement-fibre slab, to recycling",CH,kg,0,waste management,recycling,0.05,0.0031826,63.7,0.0032822,,
2146,"disposal, building, concrete gravel, to recycling",CH,kg,0,waste management,recycling,0.06,0.0038741,64.6,0.0039954,,
2147,"disposal, building, concrete gravel, to sorting plant",CH,kg,0,waste management,recycling,0.3,0.013225,44.1,0.013895,,
2148,"disposal, building, concrete, not reinforced, to recycling",CH,kg,0,waste management,recycling,0.06,0.0038741,64.6,0.0039954,,
2149,"disposal, building, concrete, not reinforced, to sorting plant",CH,kg,0,waste management,recycling,0.3,0.013198,44,0.013868,,
2150,"disposal, building, mineral wool, to recycling",CH,kg,0,waste management,recycling,0,,#DIV/0!,0,,
2151,"disposal, building, plaster board, gypsum plaster, to recycling",CH,kg,0,waste management,recycling,0.05,0.0031826,63.7,0.0032822,,
2152,"disposal, building, plaster-cardboard sandwich, to recycling",CH,kg,0,waste management,recycling,0.05,0.0031826,63.7,0.0032822,,
2153,"disposal, building, reinforced concrete, to recycling",CH,kg,0,waste management,recycling,0.08,0.0054255,67.8,0.0055954,,
2154,"disposal, building, reinforced concrete, to sorting plant",CH,kg,0,waste management,recycling,0.32,0.014584,45.6,0.015291,,
2155,"disposal, building, reinforced plaster board, to recycling",CH,kg,0,waste management,recycling,0.05,0.0031826,63.7,0.0032822,,
2156,"disposal, building, reinforcement steel, to recycling",CH,kg,0,waste management,recycling,0.86,0.055496,64.5,0.057234,,
7049,"disposal, desktop computer, to WEEE treatment",CH,unit,0,waste management,recycling,12.62,4.5629,361.6,4.6176,,
10976,"disposal, fluorescent lamps",GLO,kg,0,waste management,recycling,1.39,0.07522,54.1,0.079031,,
7100,"disposal, industrial devices, to WEEE treatment",CH,kg,0,waste management,recycling,0.76,0.29045,382.2,0.29405,,
7055,"disposal, keyboard, standard version, to WEEE treatment",CH,unit,0,waste management,recycling,1.52,1.7285,1137.2,1.7422,,
7052,"disposal, laptop computer, to WEEE treatment",CH,unit,0,waste management,recycling,5.62,2.9301,521.4,2.9622,,
7056,"disposal, mouse device, optical, with cable, to WEEE treatment",CH,unit,0,waste management,recycling,0.15,0.16594,1106.3,0.16725,,
7053,"disposal, printer, laser jet, b/w, to WEEE treatment",CH,unit,0,waste management,recycling,4.49,11.938,2658.8,12.004,,
7054,"disposal, printer, laser jet, colour, to WEEE treatment",CH,unit,0,waste management,recycling,4.49,11.938,2658.8,12.004,,
10977,"disposal, treatment of CRT glass",GLO,kg,0,waste management,recycling,1.39,0.075281,54.2,0.079095,,
10903,"disposal, treatment of batteries",GLO,kg,0,waste management,recycling,10.67,0.74857,70.2,0.77567,,
10918,"disposal, treatment of cables",GLO,kg,0,waste management,recycling,5.06,0.91466,180.8,0.92896,,
7095,"disposal, treatment of printed wiring boards",GLO,kg,0,waste management,recycling,1.49,0.07999,53.7,0.08405,,
10993,"electronics scrap, for precious metal recovery, at preparation plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
11119,"glass cullet, from fluorescent lamps treatment, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10979,"glass cullets, funnel glass, for CRT glass production, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10980,"glass cullets, mixed glass, for CRT glass production, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10978,"glass cullets, panel glass, for CRT glass production, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10955,"iron and steel, hydrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
11118,"mercury, from fluorescent lamps treatment, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10956,"non-Fe-metals, hydrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10950,"non-Fe-metals, pyrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
11120,"rare-earth activated phosphors, from fluorescent lamps treatment, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
11121,"secondary metals, from fluorescent lamps treatment, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
10904,"shredding, electrical and electronic scrap",GLO,kg,0,waste management,recycling,0.87,0.042664,49,0.045065,,
10948,"steel, pyrometallurgical processing Li-ion batteries, at plant",GLO,kg,0,waste management,recycling,0,,#DIV/0!,0,,
2170,"disposal, H3PO4 purification residue, 0% water, to residual material landfill",CH,kg,0,waste management,residual material landfill,2.08,0.32074,154.2,0.32891,,
