,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
145,"potato seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,2.71,0.12322,45.5,0.23408,,
146,"rape seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,13.57,0.70157,51.7,1.955,,
6243,"rape seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,11.4,0.61483,53.9,1.3081,,
6971,"rice seed, at regional storehouse",US,kg,0,agricultural means of production,seed,6.2,0.31382,50.6,0.53156,,
147,"rye seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,3.13,0.16424,52.5,0.38247,,
148,"rye seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,2.92,0.16152,55.3,0.56907,,
149,"sugar beet seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,22.47,0.95142,42.3,2.131,,
150,"wheat seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,4.14,0.21893,52.9,0.63298,,
151,"wheat seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,3.1,0.1725,55.6,0.63175,,
152,"application of plant protection products, by field sprayer",CH,ha,0,agricultural means of production,work processes,178.79,10.389,58.1,10.949,,
153,baling,CH,unit,0,agricultural means of production,work processes,146.14,5.7017,39,6.2526,,
154,"chopping, maize",CH,ha,0,agricultural means of production,work processes,5131.75,304.91,59.4,324.22,,
155,combine harvesting,CH,ha,0,agricultural means of production,work processes,2391.69,147.46,61.7,154.77,,
156,"fertilising, by broadcaster",CH,ha,0,agricultural means of production,work processes,397.74,24.085,60.6,25.183,,
157,"fodder loading, by self-loading trailer",CH,m3,0,agricultural means of production,work processes,10.03,0.59301,59.1,0.6243,,
158,"grain drying, high temperature",CH,kg,0,agricultural means of production,work processes,15.64,0.56379,36,0.58615,,
159,"grain drying, low temperature",CH,kg,0,agricultural means of production,work processes,18.23,0.73563,40.4,0.76225,,
160,grass drying,CH,kg,0,agricultural means of production,work processes,6.95,0.438,63,0.4494,,
161,"harvesting, by complete harvester, beets",CH,ha,0,agricultural means of production,work processes,6965.33,436.1,62.6,455.64,,
162,"harvesting, by complete harvester, potatoes",CH,ha,0,agricultural means of production,work processes,4320.95,240.66,55.7,256.08,,
163,"haying, by rotary tedder",CH,ha,0,agricultural means of production,work processes,172.13,10.236,59.5,10.753,,
164,hoeing,CH,ha,0,agricultural means of production,work processes,325.75,19.467,59.8,20.485,,
165,irrigating,CH,ha,0,agricultural means of production,work processes,11985.5,269.73,22.5,296.54,,
6967,irrigating,US,m3,0,agricultural means of production,work processes,6.64,0.3237,48.8,0.34938,,
6978,irrigating,CH,m3,0,agricultural means of production,work processes,9.99,0.22478,22.5,0.24712,,
166,loading bales,CH,unit,0,agricultural means of production,work processes,6.46,0.39081,60.5,0.40932,,
167,maize drying,CH,kg,0,agricultural means of production,work processes,4.36,0.26616,61,0.27329,,
168,milking,CH,kg,0,agricultural means of production,work processes,0.61,0.014349,23.5,0.015619,,
169,"mowing, by motor mower",CH,ha,0,agricultural means of production,work processes,293.91,14.763,50.2,18.737,,
170,"mowing, by rotary mower",CH,ha,0,agricultural means of production,work processes,370.57,22.185,59.9,23.295,,
171,mulching,CH,ha,0,agricultural means of production,work processes,342.86,20.091,58.6,21.158,,
172,planting,CH,ha,0,agricultural means of production,work processes,1613.56,92.673,57.4,97.47,,
173,potato grading,CH,kg,0,agricultural means of production,work processes,0.03,0.0010983,36.6,0.0011838,,
174,potato haulm cutting,CH,ha,0,agricultural means of production,work processes,587.71,34.078,58,36.045,,
175,potato planting,CH,ha,0,agricultural means of production,work processes,963.03,54.971,57.1,57.975,,
176,"slurry spreading, by vacuum tanker",CH,m3,0,agricultural means of production,work processes,19.38,1.1456,59.1,1.2049,,
177,"solid manure loading and spreading, by hydraulic loader and spreader",CH,kg,0,agricultural means of production,work processes,0.05,0.0029966,59.9,0.0031568,,
178,sowing,CH,ha,0,agricultural means of production,work processes,364.51,21.531,59.1,22.643,,
179,"swath, by rotary windrower",CH,ha,0,agricultural means of production,work processes,256.39,15.349,59.9,16.108,,
180,"tillage, cultivating, chiselling",CH,ha,0,agricultural means of production,work processes,1092.8,68.184,62.4,71.309,,
181,"tillage, currying, by weeder",CH,ha,0,agricultural means of production,work processes,174.45,10.32,59.2,10.881,,
182,"tillage, harrowing, by rotary harrow",CH,ha,0,agricultural means of production,work processes,984.02,59.663,60.6,62.721,,
183,"tillage, harrowing, by spring tine harrow",CH,ha,0,agricultural means of production,work processes,387.15,23.525,60.8,24.701,,
184,"tillage, hoeing and earthing-up, potatoes",CH,ha,0,agricultural means of production,work processes,349.58,20.886,59.7,21.97,,
185,"tillage, ploughing",CH,ha,0,agricultural means of production,work processes,1818.26,113.33,62.3,118.48,,
186,"tillage, rolling",CH,ha,0,agricultural means of production,work processes,383.25,22.356,58.3,23.63,,
187,"tillage, rotary cultivator",CH,ha,0,agricultural means of production,work processes,1177.86,71.841,61,75.591,,
188,"transport, tractor and trailer",CH,tkm,0,agricultural means of production,work processes,4.88,0.28583,58.6,0.30711,,
6976,"sheep for slaughtering, live weight, at farm",US,kg,0,agricultural production,animal production,25.03,2.1854,87.3,4.0011,,
189,"tallow, at plant",CH,kg,0,agricultural production,animal production,12.79,0.62727,49,0.66545,,
6973,"wool, sheep, at farm",US,kg,0,agricultural production,animal production,698.68,60.993,87.3,111.67,,
191,"barley grains IP, at farm",CH,kg,0,agricultural production,plant production,2.66,0.1458,54.8,0.42087,,
6964,"barley grains conventional, Barrois, at farm",FR,kg,0,agricultural production,plant production,3.12,0.18512,59.3,0.5593,,
6960,"barley grains conventional, Castilla-y-Leon, at farm",ES,kg,0,agricultural production,plant production,5.31,0.29795,56.1,0.93053,,
6956,"barley grains conventional, Saxony-Anhalt, at farm",DE,kg,0,agricultural production,plant production,3.23,0.17329,53.7,0.48846,,
190,"barley grains extensive, at farm",CH,kg,0,agricultural production,plant production,3.04,0.16816,55.3,0.52344,,
192,"barley grains organic, at farm",CH,kg,0,agricultural production,plant production,2.09,0.12243,58.6,0.54348,,
194,"barley straw IP, at farm",CH,kg,0,agricultural production,plant production,0.77,0.039617,51.5,0.09895,,
193,"barley straw extensive, at farm",CH,kg,0,agricultural production,plant production,0.85,0.044375,52.2,0.12077,,
195,"barley straw organic, at farm",CH,kg,0,agricultural production,plant production,0.5,0.02599,52,0.084118,,
6528,"corn, at farm",US,kg,0,agricultural production,plant production,3.88,0.21728,56,0.43427,,
6977,"cotton fibres, at farm",US,kg,0,agricultural production,plant production,22.26,1.2351,55.5,2.3635,,
10174,"cotton fibres, ginned, at farm",CN,kg,0,agricultural production,plant production,31.91,1.6155,50.6,3.5068,,
6974,"cotton seed, at farm",US,kg,0,agricultural production,plant production,2.2,0.12231,55.6,0.23405,,
10175,"cotton seed, at farm",CN,kg,0,agricultural production,plant production,3.2,0.16218,50.7,0.35206,,
196,"fava beans IP, at farm",CH,kg,0,agricultural production,plant production,4.14,0.2272,54.9,1.0552,,
197,"fava beans organic, at farm",CH,kg,0,agricultural production,plant production,3.41,0.1911,56,1.042,,
198,"fodder beets IP, at farm",CH,kg,0,agricultural production,plant production,0.21,0.012319,58.7,0.039075,,
200,"grain maize IP, at farm",CH,kg,0,agricultural production,plant production,3.84,0.22228,57.9,0.60715,,
201,"grain maize organic, at farm",CH,kg,0,agricultural production,plant production,3.14,0.18781,59.8,0.43594,,
6208,"grass from meadow intensive IP, at field",CH,kg,0,agricultural production,plant production,1.11,0.06353,57.2,0.20171,,
6207,"grass from meadow intensive, organic, at field",CH,kg,0,agricultural production,plant production,0.98,0.058328,59.5,0.16324,,
6210,"grass from natural meadow extensive IP, at field",CH,kg,0,agricultural production,plant production,0.7,0.041036,58.6,0.092026,,
6209,"grass from natural meadow extensive organic, at field",CH,kg,0,agricultural production,plant production,0.69,0.040604,58.8,0.091566,,
6212,"grass from natural meadow intensive IP, at field",CH,kg,0,agricultural production,plant production,0.99,0.056938,57.5,0.17897,,
6211,"grass from natural meadow intensive organic, at field",CH,kg,0,agricultural production,plant production,0.87,0.051437,59.1,0.1393,,
6214,"grass silage IP, at farm",CH,kg,0,agricultural production,plant production,1.58,0.07499,47.5,0.21873,,
